solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii
22_dimethylpropane,0.01,12.29,-9.7,2.59,2.6,2.51,-0.04,72,260.7,119.6,101.5,119.5,103.2,280.2,133.8,123.2,145.3,111.9,274.4,130.3,120.9,136.2,115.4
222_trifluoroethanol,-6.05,9.36,-7.26,2.1,-3.95,-4.31,-8.33,100,222.4,93.8,69.9,93.7,71.6,229.2,99,79.2,103.2,73.1,243.7,108.9,91.2,111.3,88.7
224_trimethylpentane,0.02,16.31,-13.4,2.91,2.93,2.89,-0.05,114,327.4,163.2,153.1,163,155.7,349.4,179.8,183.1,197.6,165.8,342.7,175.7,179.4,184.1,171.5
225_trimethylhexane,0,18.3,-15.44,2.86,2.86,2.93,-0.06,128,361.2,183.8,173.5,183.5,176.6,384.2,201.7,207.7,223.2,186.9,377.1,197.1,203.3,207.4,193.3
23_dimethylbuta_13_diene,-1.11,12.17,-9.37,2.8,1.69,0.4,-1.63,82,272.8,126.5,103.3,126.5,105.8,291.2,139.3,122.4,146.4,113.4,290.3,140.4,129.8,144.2,126.2
23_dimethylbutane,0.01,13.63,-10.95,2.68,2.69,2.34,-0.04,86,284.6,135.3,118.7,135.1,121,305.1,150.1,143.8,163.5,130.4,298.9,146.7,140.9,152.5,135.4
23_dimethylnaphthalene,-4.43,19.15,-17.31,1.84,-2.59,-2.78,-4.84,156,362.5,184.6,164,184.5,167.1,383.3,200.2,189.1,209.8,175.9,381.7,201.5,204.7,206,199.7
23_dimethylpentane,0,15.24,-12.58,2.66,2.66,2.52,-0.05,100,310.4,151.6,136.4,151.4,139.1,331.9,167.5,164.7,183.4,149.3,325.2,163.8,161,170.3,154.6
23_dimethylphenol,-6.49,15.51,-13.69,1.82,-4.67,-6.16,-7.52,122,307.6,148.8,126.3,148.8,128.9,322.6,159.6,143.8,166.8,133.5,324.7,163.3,158,166.9,154.1
23_dimethylpyridine,-4.79,14.54,-13.02,1.52,-3.27,-4.82,-5.25,107,290.9,136.8,112.7,136.7,114.9,309.3,150,132.2,155.5,123.2,308,151.6,142.9,154,140.3
234_trimethylpentane,0.01,16.49,-13.64,2.85,2.86,2.56,-0.05,114,329.6,165.2,155.3,165,158.5,351.7,181.7,186.1,201.4,168.6,345.3,178,182.5,187,174.4
24_dimethylpentan_3_one,-5.13,15.61,-12.95,2.66,-2.47,-2.74,-5.31,114,323.1,158.5,142.1,158.3,145.2,343.7,174,169.4,192.4,150.3,338.9,171.8,168.9,180.5,160.4
24_dimethylpentane,0,15.42,-12.53,2.89,2.89,2.83,-0.05,100,306.4,148.8,133.7,148.7,136.5,327.8,164.7,161.5,180,146.3,320.9,160.8,158,167.4,151.8
24_dimethylphenol,-6.48,15.64,-13.71,1.93,-4.55,-6.01,-7.48,122,314.3,152.1,128,152,130.7,330,163.4,146.3,171.3,135.3,331.6,166.8,159.8,170.7,155.5
24_dimethylpyridine,-4.94,15.18,-13.42,1.76,-3.18,-4.86,-5.32,107,297.2,139.8,114,139.7,116.6,316.5,153.6,134.4,159.8,124.8,314.5,154.8,144.8,157.7,141.5
25_dimethylphenol,-5.97,15.64,-14.06,1.58,-4.39,-5.91,-6.07,122,312,150.6,126.5,150.5,129.4,330,163.3,146,171,135.2,329.6,165.5,158.5,168.9,154.7
25_dimethylpyridine,-4.76,14.75,-12.82,1.93,-2.83,-4.72,-5.2,107,297.9,140,114.5,139.9,116.8,317.4,154,134.9,160.4,125.2,315,155,144.8,157.9,141.6
25_dimethyltetrahydrofuran,-3.52,13.77,-12.14,1.63,-1.89,-2.92,-3.2,100,293.3,137.5,115.9,137.4,119.1,313.1,151.9,139,163.9,124.6,306.8,149.1,138.7,203.5,166.7
26_dimethylaniline,-6.51,15.79,-14.15,1.64,-4.87,-5.21,-6.61,121,312.3,152.2,129.8,152.1,132.6,329,163.6,148,171.3,137.3,329.5,166.8,162.3,170.6,158.4
26_dimethylnaphthalene,-4.42,19.72,-17.95,1.77,-2.65,-2.63,-4.85,156,369.8,187.6,164.5,187.5,167.8,391.7,203.9,190.4,213.9,176.7,388.8,204.7,205.8,209.3,200.6
26_dimethylphenol,-5.78,15.67,-13.98,1.69,-4.09,-5.26,-6.13,122,309,149.5,126.4,149.4,129.2,327.3,162.2,145.8,169.9,135.1,326.2,164.1,158.3,167.7,154.4
26_dimethylpyridine,-5.15,14.62,-12.83,1.79,-3.36,-4.59,-5.06,107,299.4,140.4,114.2,140.4,116.5,319.7,154.9,134.9,160.9,125.4,315.9,155.3,144.7,158,141.6
3_acetylpyridine,-8.04,15.76,-14.82,0.94,-7.1,-8.26,-9.78,121,295,139.9,116.7,139.9,119,309.5,150.3,132.7,156.1,124,315.9,156.9,149.2,159.9,146.1
3_chloroaniline,-6.41,14.34,-13.3,1.04,-5.37,-5.82,-7.36,127.5,289.5,135.6,110.9,135.5,113.1,292.3,138.8,119.7,143.5,112,313.2,154.2,144.6,157,141.6
3_chlorophenol,-6.38,14.42,-13.32,1.1,-5.28,-6.62,-7.28,128.5,281.1,130.9,107,130.9,109,289,136.6,117.1,141.2,109.5,305.6,149.6,140,152.1,137.4
3_chloroprop_1_ene,-1.48,9.51,-7.15,2.36,0.88,-0.57,-2.24,76.5,229.4,97.1,71.2,97.1,73,239.5,104,81,107.2,75.3,251,113,95.1,114.6,93.5
3_chloropyridine,-3.78,12.69,-11.41,1.28,-2.5,-4.01,-4.78,113.5,259.2,117,93.4,117,95.2,269.9,124.5,104.8,127.9,98.7,284.2,136,124.9,137.7,123.1
3_cyanophenol,-8.16,14.7,-13.58,1.12,-7.04,-9.65,-9.91,119,290.8,135.6,109.9,135.6,112.1,301.9,143.4,122.5,147.7,114.9,315.4,154.9,143.9,157.1,141.6
3_cyanopyridine,-5.79,14.14,-13.01,1.13,-4.66,-6.75,-7.39,104,268.9,121.7,96.3,121.7,98.3,282.9,131.4,110.2,134.5,104,294,141.2,128.9,142.7,127.4
3_ethylphenol,-6.91,16.03,-14.14,1.89,-5.02,-6.25,-7.77,122,316.4,152.9,129.6,152.8,132,330.6,163.5,147.6,173.2,135.4,333.9,167.8,160.5,172.1,156.1
3_ethylpyridine,-4.59,14.53,-12.9,1.63,-2.96,-4.59,-5.37,107,294.7,139.1,116,139,118.3,312.1,151.8,135.5,160.3,124.6,312.6,154.2,145.6,157.8,141.9
3_formylpyridine,-8.22,13.9,-13.32,0.58,-7.64,-7.1,-10.07,107,268.1,123,99.1,123,101.1,278.5,130.4,110.9,134.4,104.2,289.8,139.8,129,141.8,126.9
3_hydroxybenzaldehyde,-10.18,15.11,-14.17,0.94,-9.24,-9.5,-11.91,122,289.9,136.8,112.6,136.8,114.8,297.2,142.3,123,147.3,114.9,311,153.4,143.9,156,141.1
3_methoxyaniline,-8.44,15.71,-14.72,0.99,-7.45,-7.29,-10.08,123,309,147.1,121.4,147.1,124,312.8,151,131.6,156.1,123,327.6,163,153.4,165.8,150.3
3_methoxyphenol,-8.1,15.47,-14.4,1.07,-7.03,-7.66,-9.99,124,300.6,142.4,117.6,142.4,119.9,309.4,148.8,129,153.8,120.4,320,158.4,148.7,160.9,146.1
3_methyl_1h_indole,-7.53,16.95,-15.97,0.98,-6.55,-5.88,-8.32,131,319.4,155.4,131.7,155.3,134.4,332.1,165,148.6,171.6,138.4,337.5,171.2,166.5,174.3,162.9
3_methyl_but_1_ene,-0.33,11.03,-7.9,3.13,2.8,1.83,-0.63,70,262.9,118.3,93.8,118.2,96.1,281.4,131.4,113.6,140,102.9,277.7,130.4,115.8,134,111.8
3_methylbut_1_ene,-0.34,11.54,-8.53,3.01,2.67,1.82,-0.63,70,262.9,118.3,93.8,118.2,96.1,281.4,131.4,113.6,140,102.9,277.7,130.4,115.8,134,111.8
3_methylbutan_1_ol,-5.15,13.48,-11.25,2.23,-2.92,-4.42,-7.28,88,277.8,129.3,108.4,129.2,110.9,289.5,138.5,125.9,148.7,114.5,292.4,140.8,129.8,145.1,125.3
3_methylbutan_2_one,-5.34,12.67,-10.26,2.41,-2.93,-3.24,-5.82,86,272,125.5,103,125.4,105.2,290.1,138.3,123,148.5,111.5,287.3,137.7,125.8,142.4,121.2
3_methylbutanoic_acid,-6.99,14.05,-12.57,1.48,-5.51,-6.09,-10.38,102,285.1,133.4,112.4,133.3,114.6,294.6,141.4,128.6,152.6,116.3,301.4,146.3,135.8,151.9,130.1
3_methylheptane,0.01,17.2,-13.92,3.28,3.29,2.97,-0.07,114,354.4,176.3,154.3,176.1,157.3,378,194.6,187.3,212.3,168.9,369.3,189.2,182.1,196.1,175
3_methylhexane,0,15.71,-12.95,2.76,2.76,2.71,-0.05,100,318.5,154.9,137,154.7,139.8,340.5,171.5,166,187.4,149.9,332.9,167.1,161.6,173.8,155.3
3_methylpentane,0,13.66,-10.94,2.72,2.72,2.51,-0.05,86,292.3,138.4,118.4,138.3,121,313.3,153.9,144.5,167.4,130.6,306.2,150.1,140.7,155.3,135.5
3_methylpyridine,-4.56,12.85,-11.48,1.37,-3.19,-4.77,-5.44,93,265.5,120.9,96.6,120.8,98.7,281.3,131.9,112.5,136.3,105.1,283.8,135.7,124.1,137.6,122
3_nitroaniline,-8,17.23,-17.47,-0.24,-8.24,-8.84,-9.45,138,302.6,144.9,120.2,144.8,122.4,304.9,147.4,128.6,152.6,120.5,324.6,162.1,153,165.3,149.7
3_nitrophenol,-7.45,17.09,-17.3,-0.21,-7.66,-9.62,-8.61,139,295.9,140.7,116.5,140.7,118.6,301.6,145.2,126.1,150.3,117.9,318.1,157.9,148.6,160.8,145.6
3_nitrotoluene,-3.51,17.1,-16.75,0.35,-3.16,-3.45,-4.28,137,312.2,150.4,125.7,150.3,128.1,325.3,160.2,142,166.8,132.3,332.9,167.3,159.1,170.7,155.7
3_phenylpropanol,-7.38,17.28,-15.4,1.88,-5.5,-6.92,-8.5,136,347.9,172.1,148.2,171.9,150.8,361.3,182.6,167.6,194.6,153.1,366.5,187.8,181.7,192.9,176.2
33_dimethylbutan_2_one,-5.18,14.16,-11.89,2.27,-2.91,-3.11,-5.62,100,288.1,137.4,121.5,137.3,123.9,306.6,150.8,143.7,164,130.3,303.9,150,145.7,156.6,139.8
33_dimethylpentane,0.01,15.12,-12.6,2.52,2.53,2.56,-0.04,100,305.3,148.9,137.5,148.7,139.9,326.5,164.6,164.9,180.8,149.9,319.8,160.7,161.7,168.7,154.8
333_trimethoxypropionitrile,-6.88,17.25,-15.3,1.95,-4.93,-6.4,-10,145,337.7,165.2,145.1,165,148.1,351,174.8,161.6,186.7,147.5,359.3,183.7,181.2,190.3,174.6
34_dimethylphenol,-6.86,15.6,-14.07,1.53,-5.33,-6.5,-7.68,122,308.8,150.2,127.8,150.1,130.2,322.9,160.5,145.2,168,134.9,327,165,159.3,168.9,155.2
34_dimethylpyridine,-4.59,14.58,-13.17,1.41,-3.18,-5.22,-5.39,107,287.6,136.5,114.4,136.4,116.6,304.9,148.9,133.3,155.4,124.3,306.1,151.5,144.3,154.8,141
35_dimethylphenol,-7.01,15.98,-14.09,1.89,-5.12,-6.27,-7.92,122,317.2,153.1,128,153.1,130.8,332.6,164.4,146.5,172.3,135.3,334.7,168.1,160,171.9,155.7
35_dimethylpyridine,-4.47,14.39,-12.86,1.53,-2.94,-4.84,-5.3,107,295.9,139.5,114.5,139.4,117,314.7,152.9,134.4,159.6,124.6,313.8,154.6,145,157.7,141.6
4_acetylpyridine,-8.38,16.07,-15.32,0.75,-7.63,-7.62,-9.98,121,294.6,139.7,116.4,139.7,118.9,308.6,149.8,132.4,155.5,123.8,315.5,156.6,149,159.6,146
4_bromophenol,-6.59,14.97,-13.85,1.12,-5.47,-7.13,-7.7,172.9,288.1,135.3,111.6,135.2,113.6,294.7,140.1,120.7,145,112.8,313.8,155,146.4,157.6,143.6
4_bromotoluene,-2.2,15.23,-12.99,2.24,0.04,-1.39,-2.83,170.9,304.4,145,120.8,144.9,123.2,318.3,155.1,136.6,161.6,126.9,328.7,164.3,157.1,167.5,153.8
4_chloro_3_methylphenol,-6.38,15.8,-14.32,1.48,-4.9,-6.79,-7.28,142.5,305.6,147.5,124.9,147.4,127.2,316.4,155.3,138.6,162.2,129,328.8,165.8,160.2,169.5,156.3
4_chloroaniline,-6.47,14.6,-13.41,1.19,-5.28,-5.9,-7.99,127.5,288.1,135.2,110.9,135.2,112.8,292.4,138.8,119.7,143.5,112,312.3,153.9,144.5,156.7,141.5
4_chlorophenol,-6.53,14.24,-13.07,1.17,-5.36,-7.03,-7.66,128.5,281.2,130.9,107.1,130.9,109,289,136.6,117.1,141.2,109.5,305.7,149.7,140,152.1,137.4
4_cyanophenol,-8.72,14.81,-13.7,1.11,-7.61,-10.17,-10.21,119,290.8,135.6,110,135.6,112.1,302,143.4,122.5,147.7,114.9,315.4,154.9,143.9,157.1,141.6
4_cyanopyridine,-5.99,13.79,-12.77,1.02,-4.97,-6.02,-7.46,104,268.7,121.6,96.2,121.6,98.3,282.6,131.3,110.2,134.3,104,293.8,141.1,128.9,142.7,127.4
4_ethylphenol,-7.07,16.14,-14.15,1.99,-5.08,-6.13,-8.03,122,316.4,152.9,129.6,152.8,132,330.7,163.5,147.6,173.2,135.3,333.9,167.8,160.5,172.1,156.1
4_ethylpyridine,-4.72,14.8,-12.95,1.85,-2.87,-4.73,-5.53,107,294.3,139,115.8,138.9,118.2,311.4,151.4,135.3,159.9,124.6,312.3,154.1,145.5,157.7,141.9
4_ethyltoluene,-2.78,16.73,-14,2.73,-0.05,-0.95,-2.96,120,332.5,162.5,138.7,162.4,141.5,354.3,178.6,163.5,189.9,149.5,348.7,177.1,171.2,181.9,166.2
4_fluorophenol,-6.51,12.89,-11.37,1.52,-4.99,-6.19,-7.69,112,266.2,121.6,97.6,121.6,99.4,276.7,129,109.1,132.9,102.1,287.5,138,126.1,139.9,124.1
4_formylpyridine,-8.13,14.07,-13.25,0.82,-7.31,-7,-9.85,107,267.9,122.9,98.9,122.8,101,277.9,130.2,110.8,134,104.1,289.5,139.6,128.9,141.6,126.8
4_hydroxybenzaldehyde,-10.85,15.01,-14.16,0.85,-10,-8.83,-12.93,122,290,136.9,112.7,136.8,114.8,297.2,142.3,123,147.3,114.9,311.1,153.4,143.9,156,141.1
4_isopropyltoluene,-2.53,17.37,-14.64,2.73,0.2,-0.68,-2.66,134,356.2,177.9,156.7,177.7,159.8,379.2,195,184.6,207.7,168.8,372.2,193,191.6,198.9,185.5
4_methoxyacetophenone,-7.89,18.68,-17.08,1.6,-6.29,-4.4,-9.96,150,346.2,171.1,146.9,171,149.8,360.8,182,165,190,153.5,366.7,188.9,184.5,192.9,180.4
4_methoxyaniline,-8.09,15.73,-14.56,1.17,-6.92,-7.48,-10.24,123,307.6,146.8,121.5,146.7,123.8,312.8,151.1,131.7,156.3,123,326.7,162.7,153.3,165.5,150.3
4_methyl_1h_imidazole,-8.85,11.99,-11.13,0.86,-7.99,-10.27,-9.29,82,245.9,107,80.8,107,82.8,253.3,113.1,91.8,116,86.1,262.8,121,105,122.4,103.5
4_methylacetophenone,-6.7,16.91,-15.03,1.88,-4.82,-4.7,-7.88,134,332.7,163.3,139.3,163.2,142.2,351.4,176.9,160.6,185.5,148.8,351.8,179.7,174.8,183.9,170.4
4_methylbenzaldehyde,-6.43,15.33,-13.8,1.53,-4.9,-4.27,-7.85,120,306,146.5,121.8,146.4,124.3,320.8,157.3,138.9,164,129.1,325.9,162.7,154.7,165.9,151.2
4_methylpentan_2_ol,-5.1,15.03,-12.68,2.35,-2.75,-3.73,-4.34,102,300,144,125.7,143.9,128.4,317.7,156.8,147.9,170,134.1,314.3,155.8,149.3,161.3,143.7
4_methylpentan_2_one,-5.28,14.46,-12.14,2.32,-2.96,-3.05,-5.65,100,300.4,142.9,121.9,142.7,124.5,319.5,157.1,145.4,170.2,131,316.1,155.8,146.9,161.7,140.7
4_methylpyridine,-4.73,13.06,-11.74,1.32,-3.41,-4.93,-5.61,93,265.3,120.7,96.4,120.7,98.6,280.7,131.6,112.4,136,104.9,283.6,135.6,124.1,137.5,122
4_n_propylphenol,-6.96,17.47,-16.01,1.46,-5.5,-5.9,-8,136,347.7,172,148,171.9,150.6,363.2,184.1,169.5,196.2,154.8,365.7,187.5,181.5,192.8,175.9
4_nitroaniline,-9.03,16.64,-16.84,-0.2,-9.23,-10.27,-10.42,138,302.7,145,120.2,144.9,122.4,305,147.5,128.6,152.7,120.5,324.6,162.1,153,165.4,149.7
4_nitrophenol,-8.04,16.68,-16.86,-0.18,-8.22,-10.64,-9.09,139,295.9,140.7,116.6,140.7,118.7,301.6,145.2,126.1,150.4,118,318.1,157.9,148.5,160.8,145.6
4_tert_butylphenol,-7.21,18.92,-17.25,1.67,-5.54,-5.91,-8.99,150,355.1,179.7,165.5,179.5,168.2,370.2,191.7,188.3,205.7,172.6,372.8,195,200.3,202.7,193.2
acenaphthene,-4.89,19.39,-18.01,1.38,-3.51,-3.15,-5.32,154,343.3,172.8,152.9,172.7,156.2,362.7,187.4,176.3,195.9,163.5,361,188.5,191.5,191.5,187.6
acetaldehyde,-5.18,7.12,-5.33,1.79,-3.39,-3.5,-6.25,44,186.4,71.6,47.5,71.6,49,197.2,78.5,56.1,80,52.6,201.7,82.7,62.4,83.3,62
acetic_acid,-7.07,8.85,-7.73,1.12,-5.95,-6.69,-11.11,60,202.3,81.1,56.2,81.1,57.8,207,84.5,62.3,86.6,58.2,218.2,92.6,72.4,93.8,71.3
acetonitrile,-3.77,6.96,-4.86,2.1,-1.67,-3.88,-4.74,41,182.1,68.9,44.9,68.9,46.3,196.7,77.8,55.2,78.8,52.4,202,82.8,62.6,83.1,62.5
acetophenone,-6.67,15.4,-13.8,1.6,-5.07,-4.58,-7.96,120,302.8,144.8,121.5,144.8,123.9,318.7,156.2,138.7,162.4,129.3,322.2,160.9,153.9,163.9,150.9
alpha_methylstyrene,-3.53,15.43,-13.16,2.27,-1.26,-1.24,-3.86,118,315.6,153.2,130.6,153.2,133,334,166.4,150.5,173.6,140.2,334.6,169.3,164.7,172.8,161.1
aniline,-7,12.4,-11.32,1.08,-5.92,-5.49,-8.45,93,264.4,120.5,96.1,120.5,98,270.7,125.2,105.4,128.7,98.8,282.2,134.8,122.8,136.6,120.9
anisole,-3.98,13.96,-12.28,1.68,-2.3,-2.45,-5.23,108,287,133.7,109.2,133.7,111.3,300.4,143.1,123.2,147.6,115.3,305.3,149.1,138.8,150.9,136.8
anthracene,-5.97,21.01,-20.43,0.58,-5.39,-3.95,-6.73,178,376.2,194,174,193.9,177,394.4,207.7,196.4,215.9,184.2,398.3,213,220.1,216.8,215.7
azetidine,-5.09,8.52,-6.84,1.68,-3.41,-5.56,-5.48,57,216.3,89.8,65.8,89.8,67.8,222.5,94.6,74.2,97.5,68.7,229.6,100.2,82.5,101.1,81.4
benzaldehyde,-6.36,13.45,-12.08,1.37,-4.99,-4.02,-7.89,106,276.1,128,104,128,106,288.1,136.6,117.1,141,109.6,296.2,143.9,133.9,145.9,131.7
benzamide,-10.97,15.29,-14.51,0.78,-10.19,-11,-12.8,121,293,138.8,114.9,138.7,116.8,298.8,143.6,125,148.2,117.3,313.3,155.1,146.7,157.5,144.1
benzene,-2.7,11.3,-9.3,2,-0.7,-0.86,-3.25,78,243.6,107.4,83.8,109.8,88.5,258.2,117.3,96.9,120,91.1,260.8,121.1,108.3,121.9,107.3
benzonitrile,-4.13,13.46,-12.07,1.39,-2.74,-4.21,-5.4,103,277.1,126.8,101.3,126.8,103.3,292.9,137.7,116.6,141.3,109.5,300.6,145.4,134,147,132.2
benzotrifluoride,-3.02,13.89,-11.42,2.47,-0.55,-0.25,-3.92,146,296.1,140.5,117.4,140.4,119.6,313.1,152.7,136.3,159.4,126.8,320.1,159.4,152.3,162.8,148.9
benzyl_alcohol,-6.94,14.03,-12.5,1.53,-5.41,-6.62,-7.97,108,286.8,134.4,111.3,134.3,113.4,297.9,142.1,123.2,147.8,114.1,304.4,148.9,139.7,151.8,136.5
benzyl_bromide,-3.13,15.6,-13.61,1.99,-1.14,-2.38,-4.14,170.9,303.9,144.7,122.2,144.6,124.3,315.4,153.1,135.6,160.3,125.1,327.5,163.8,158.1,167.5,154.2
benzyl_chloride,-3.37,14.81,-13,1.81,-1.56,-1.93,-4.31,126.5,297.6,140.6,117.5,140.6,119.6,310.3,149.9,131.9,156.6,121.9,320.2,158.9,151.6,162.3,148
biphenyl,-4.97,19.39,-17.81,1.58,-3.39,-2.66,-5.18,154,366.2,183,159.7,182.9,162.6,385.8,197.4,182.1,206.7,167.9,384.8,200.8,201.7,205.2,196.5
bromobenzene,-2.2,13.76,-11.93,1.83,-0.37,-1.46,-2.94,156.9,274.4,126.5,102.9,126.5,104.9,285.6,134.4,114.8,138.6,107.5,299,145.5,136.3,147.5,134.2
bromoethane,-1.01,9.29,-7.35,1.94,0.93,-0.74,-1.55,108.9,214,88.4,64.1,88.4,66,223.7,94.9,73.4,98.2,67.8,234,103,85.6,104.4,84.2
bromomethane,-0.89,7.48,-5.5,1.98,1.09,-0.82,-1.46,94.9,180.8,68.9,46.3,68.9,47.5,185.2,71.6,50.3,72.7,47.4,202.3,83.6,64.9,84.1,64.5
bromotrifluoromethane,-0.38,8.89,-6.48,2.41,2.03,1.79,-0.69,148.9,208.3,85.4,61.8,85.4,63.2,217.9,91.9,71.2,94.5,66.9,237.4,105.3,88.2,107,86.7
but_1_ene,-0.37,9.37,-6.52,2.85,2.48,1.38,-0.68,56,234.9,100.6,75.1,100.6,77.2,252.1,112.4,91.6,118.3,83.6,249.5,112.2,94.3,114.2,92.3
but_1_yne,-0.86,9.39,-6.6,2.79,1.93,-0.16,-1.36,54,228.5,95.3,68.1,95.3,70,244.8,106.1,82.4,109.2,76.6,245.7,109,89.5,110.1,88.3
buta_13_diene,-0.96,8.78,-5.89,2.89,1.93,0.61,-1.56,54,224.1,94,67.8,94,69.5,237.8,103.2,79.8,106.1,74.5,242.4,107.7,88.9,109,87.6
butan_1_ol,-5.12,11.84,-9.86,1.98,-3.14,-4.72,-5.98,74,259.4,116.2,90.6,116.1,92.6,271.4,125.1,105.5,132.6,95.7,273.3,127.1,109.4,130,106.2
butan_2_ol,-5.2,11.54,-9.46,2.08,-3.12,-4.62,-5.27,74,254.5,114.1,90.5,114,92.6,269.4,124.5,106.5,132.4,96.6,268.1,124.8,109.3,128.1,106
butanenitrile,-3.57,10.96,-8.8,2.16,-1.41,-3.64,-4.36,69,247.9,107.9,81.1,107.8,83.1,266.2,120.6,99.2,126,91.3,267.2,122.6,104.3,124.6,102.1
butanoic_acid,-6.92,12.27,-10.81,1.46,-5.46,-6.35,-10.58,88,265,119,92.7,119,94.9,273.3,126,106.5,133.2,97.1,280.7,131.4,114.3,134.5,110.9
butanone,-5.05,11.23,-9.15,2.08,-2.97,-3.71,-6.03,72,248.9,109.5,83.9,109.4,86.1,263.4,120,100.3,126.6,91.5,263.9,121.4,104.3,123.9,101.6
butyraldehyde,-5.07,11.12,-9.06,2.06,-3.01,-3.18,-6.03,72,248.9,109.5,83.9,109.4,86.1,263.4,120,100.3,126.6,91.5,263.9,121.4,104.3,123.9,101.6
chlorobenzene,-2.13,12.78,-11.25,1.53,-0.6,-1.12,-2.85,112.5,267.5,122.2,98.4,122.1,100.3,279.9,130.9,111.2,134.9,104.2,290.9,140.3,129.9,142,128
chlorodifluoromethane,-2.32,7.5,-5.22,2.28,-0.04,-0.5,-2.75,86.5,192.4,75.6,52.1,75.6,53.4,199.7,80.5,59.2,120.7,77.6,217.9,92.9,73.8,144.1,105.9
chloroethane,-1.26,8.32,-6.28,2.04,0.78,-0.63,-1.75,64.5,207.2,84.2,59.7,84.2,61.5,218.3,91.5,69.9,94.5,64.6,225.9,97.8,79.3,98.9,78
chloroethylene,-1.06,7.29,-5.01,2.28,1.22,-0.59,-1.54,62.5,195.3,77.1,53.1,77.1,54.5,204.1,82.8,60.6,84.2,57.2,217.7,92.7,74,93.5,73.3
chlorofluoromethane,-2.25,6.91,-4.88,2.03,-0.22,-0.77,-2.82,68.5,183.2,70.1,46.9,70.1,48.2,188.3,73.6,52.1,74.6,49.4,206,85.5,66.2,86.2,65.6
chloromethane,-1.14,6.2,-4.25,1.95,0.81,-0.55,-1.69,50.5,173.2,64.4,41.9,64.4,43,179,68,46.8,68.9,44.2,193.2,77.9,58.4,78.3,58.2
cis_12_dimethylcyclohexane,0.02,15.91,-13.88,2.03,2.05,1.58,-0.05,112,311.2,152.5,142.9,152.3,145.6,332.7,168.6,171.6,185.6,155.3,324.6,163.9,166.8,170.8,160
cyanobenzene,-4.14,13.34,-11.58,1.76,-2.38,-4.1,-5.4,103,277.1,126.8,101.3,126.8,103.3,292.9,137.7,116.6,141.3,109.5,300.6,145.4,134,147,132.2
