solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii
cyclohepta_135_triene,-1.97,12.58,-10.46,2.12,0.15,-0.99,-3.06,92,270,124.5,101.3,124.5,103.5,286.9,136.3,118.3,141.4,110.1,285.8,137.6,127.9,139.3,126
cycloheptanol,-5.14,15.7,-14.71,0.99,-4.15,-5.48,-5.8,114,300.7,145.5,133,145.3,135.6,316.8,157.7,155.1,171.8,140.4,313.8,156.4,155.1,162.4,149.5
cyclohexane,0.01,13.07,-11.41,1.66,1.67,1.23,-0.05,84,269.1,123.8,105.1,123.7,108.5,289.4,138.6,129.8,150.5,117.3,280.4,133.7,125.1,137.4,121.2
cyclohexanol,-5.28,14.1,-13.08,1.02,-4.26,-5.46,-6.31,100,282.8,132.7,115.4,132.6,118.1,296.4,143.2,135,156,121.7,295.4,143.3,136,148,131
cyclohexanone,-5.14,14.08,-12.78,1.3,-3.84,-4.91,-5.95,98,274.9,127.3,107.9,127.2,110.5,292.1,140,128.7,150.5,117,288.5,138.8,130,142.4,126.1
cyclohexene,-0.53,12.31,-10.22,2.09,1.56,0.37,-0.82,82,263.2,119.7,98.4,119.6,100.7,282.3,133.4,119.1,141.6,108.7,275.5,130.3,119.5,132.6,116.9
cyclohexylamine,-5.08,14.44,-13.3,1.14,-3.94,-4.59,-4.4,99,285.4,134.8,119.2,134.6,122,296.6,143.7,137.1,156.1,124.1,297.4,145.2,140.5,150.2,135
cyclopentane,0.01,11.34,-9.82,1.52,1.53,1.2,-0.08,70,246.6,109.4,87.5,109.3,89.8,266.2,123.1,108.1,131,98.2,258.5,119,105.1,120.8,102.9
cyclopentanol,-5.27,13.06,-11.94,1.12,-4.15,-5.49,-6.11,86,260.1,118,97,117.9,99.3,272.1,127,112.9,135.6,102.7,272.8,128.3,116.2,131.2,112.8
cyclopentanone,-4.85,12.47,-11.33,1.14,-3.71,-4.7,-5.82,84,252.5,112.5,89.8,112.5,92.2,268.8,124,107.4,131.1,98,266.7,123.9,110.2,125.8,107.8
cyclopentene,-0.58,10.85,-8.89,1.96,1.38,0.56,-0.94,68,238.9,103.9,80,103.8,82,257.1,116.3,97.2,120.6,90,251.8,114.7,100,115.8,98.6
cyclopropane,-0.03,7.18,-4.51,2.67,2.64,0.75,-0.23,42,196.8,78.1,54.2,78.1,55.9,213.4,88.8,67.6,91.6,62.7,210.7,88.4,69.2,88.8,69
decan_1_ol,-5.16,23.03,-20.36,2.67,-2.49,-3.64,-6.44,158,450.1,231.8,201.2,231.6,204.2,467.5,248.6,237,271,212.3,466.7,246.6,235.9,255.5,225.6
decan_2_one,-5.26,22.01,-18.73,3.28,-1.98,-2.34,-5.78,156,435.8,223.7,193.8,223.4,197.1,460.5,244.3,232,265.4,208.6,453.7,239.4,230.1,248.1,220.5
di_isopropyl_sulfide,-2.56,15.86,-13.2,2.66,0.1,-1.21,-2.95,118,318.9,154.9,136.1,154.8,139,340.5,170.6,161.2,183.9,146.3,335.3,169.3,167,175.4,160.7
di_n_butyl_ether,-2.65,19.29,-16.05,3.24,0.59,-0.83,-2.66,130,393.8,195.5,163.1,195.3,166.1,418.9,214.7,194.4,230.8,174.9,408.8,209.4,194.2,215.6,187
di_n_propyl_ether,-2.67,15.46,-12.58,2.88,0.21,-1.16,-2.69,102,331.3,157.3,126.2,157.2,129,353.8,173.6,150.5,184.7,136,345.2,169.9,152.1,174.1,147.5
di_n_propyl_sulfide,-2.15,16.4,-13.76,2.64,0.49,-1.28,-2.57,118,343.6,166.2,137.9,166.1,140.5,365.3,182.2,162.4,195.2,146.6,360.4,181.3,169.3,186.7,163.5
di_n_propylamine,-4.76,15.77,-13.27,2.5,-2.26,-3.65,-4.08,101,333.6,159.9,130.6,159.8,133.3,354.9,174.8,152.9,186.2,138.4,347.6,172.5,156.5,177.3,151.1
dibromomethane,-1.1,10.39,-8.42,1.97,0.87,-1.96,-1.51,173.8,214.7,89.1,65.7,89.1,67.1,214.9,89.3,67.4,91.2,63.6,243.4,109.1,93.1,110.4,91.8
dichloromethane,-1.6,8.47,-6.64,1.83,0.23,-1.31,-2.04,85,200,80.1,56.6,80.1,58,202.6,82,60.3,83.5,57,226.3,98.2,80.2,99.1,79.3
diethoxymethoxybenzene,-7.19,23.2,-20.45,2.75,-4.44,-5.23,-7.49,196,443.5,228.6,203,228.4,206.9,467.8,246.5,230.6,262.6,208.4,463.2,248.1,248.8,256,239.4
diethyl_disulfide,-2.51,14.01,-11.57,2.44,-0.07,-1.64,-3.13,122,313.8,148.1,120.7,148,123.7,331.5,160.6,139.5,171.5,126.6,334.1,165.9,156.1,170.5,151.2
diethyl_ether,-3.02,11.56,-9.24,2.32,-0.7,-1.59,-3,74,268.1,118.9,89.2,118.8,91.8,286.5,131.4,106.3,137.1,97.1,281.1,130.3,110.3,132.5,107.8
diethyl_malonate,-8.27,19.57,-17.75,1.82,-6.45,-6,-11.95,160,391,191.4,156.8,191.4,160.4,412.8,206.8,179.5,218.2,163.5,408.5,208.7,193.5,213.9,187.7
diethyl_succinate,-10.32,21.22,-19.37,1.85,-8.47,-5.71,-11.1,174,423.5,210.7,175.3,210.6,179.6,446.5,227.5,202.1,242.2,182.8,441.7,228.9,214.9,235.4,207.8
diethyl_sulfide,-2.18,12.66,-10.27,2.39,0.21,-1.46,-2.69,90,281.1,128,100.5,128,103.3,298.6,140.3,118.3,148.1,107.3,296.8,141.9,127.5,145.2,123.8
diethylamine,-4.93,12.27,-10.06,2.21,-2.72,-4.07,-4.24,73,271.1,121.8,93.7,121.8,96.1,288.2,132.9,108.8,139,99.3,284.1,133.1,114.8,135.9,111.4
diiodomethane,-2.3,11.9,-10.34,1.56,-0.74,-2.49,-3.09,267.8,232.5,100.3,78.4,100.3,79.7,231.8,100,79.3,102.3,75,265.4,123.8,112.4,125.4,110.8
diisopropyl_ether,-3.01,14.73,-11.83,2.9,-0.11,-0.53,-2.39,102,311.5,149.8,128.5,149.7,131.5,333,165.8,154.2,180.6,137.6,326.4,162.4,154.2,169.2,146.8
diisopropylamine,-4.6,15.19,-12.56,2.63,-1.97,-3.22,-3.78,101,310.6,149.4,129.4,149.2,132.1,332.5,164.4,152.5,176.6,138.2,325.2,161.8,154.8,167.7,148.7
dimethoxymethane,-4.33,11.19,-9.55,1.64,-2.69,-2.93,-4.77,76,241.3,105.7,81.7,105.7,83.7,247.1,109.8,88.8,115.6,81.3,256.7,117.7,101.7,120.5,99.1
dimethyl_ether,-2.7,7.72,-5.87,1.85,-0.85,-1.91,-3.54,46,198.2,78.5,53.7,78.5,55.3,205.6,83.2,60.5,85,56.3,357.2,139.1,101.2,89.6,68
dimethyl_sulfate,-8.13,14.32,-14.04,0.28,-7.85,-5.1,-11.04,126,278.1,126.3,99.5,126.2,102,285,131.1,107.5,138.2,97.8,296.1,141,125.2,144.7,121.6
dimethyl_sulfide,-1.7,8.7,-6.74,1.96,0.26,-1.61,-2.42,62,214.7,88.9,64.7,88.9,66.4,222,93.8,72.1,96.8,66.6,233.6,103,85.8,104.4,84.6
dimethyl_sulfone,-11.21,11.82,-10.97,0.85,-10.36,-10.08,-12.89,94,238.6,104.4,80.4,104.3,82.1,244.5,108.3,87.1,113.1,79.9,255.6,117.1,101.6,119.6,99
dimethyl_sulfoxide,-9.68,10.17,-8.81,1.36,-8.32,-8.71,-10.39,78,226.9,96.7,72.6,96.7,74.3,233.4,101.1,79.6,104.7,73.5,244.9,110.3,94.1,112.2,92.3
dimethylamine,-4.72,8.11,-6.5,1.61,-3.11,-4.29,-5.55,45,204.1,82.3,57.4,82.3,59.1,208.3,85.1,62.7,87.1,58.5,217.5,92.4,72.8,93.5,71.7
E_12_dichloroethene,-0.87,9.66,-7.59,2.07,1.2,-0.78,-1.32,97,222.5,92.8,67.4,92.8,69,228.5,97.1,74.1,99.3,69.8,251.5,113.2,95.3,114.5,94
E_but_2_enal,-5.82,10.72,-8.56,2.16,-3.66,-4.22,-7.08,70,241.9,104.1,76.3,104.1,78.4,254.5,112.9,88.9,116.4,82.8,259.6,117.9,98.8,119.6,97.1
E_hept_2_ene,-0.43,15.09,-11.83,3.26,2.83,1.68,-0.71,98,333.8,159.4,129,159.2,131.7,357.2,176.9,156.6,188.4,142,348.4,172.8,157,177.2,151.7
E_hex_2_enal,-5.48,14.41,-12.15,2.26,-3.22,-3.68,-6.67,98,306,142.7,113.3,142.6,115.7,321.7,154.8,133.3,163.5,121.7,323.9,157.6,140.9,161.1,136.8
E_oct_2_enal,-5.37,18.24,-15.34,2.9,-2.47,-3.43,-6.55,126,369.1,181.1,150.2,180.9,153.1,387.4,196.1,177.3,209.9,160.6,388.1,197.3,183,202.9,176.7
ethanamide,-9.94,9.12,-7.8,1.32,-8.62,-9.71,-11.76,59,208.6,84.9,59.5,84.9,61.1,210.6,86.7,64.6,88.7,60.5,224.2,96.5,76.6,97.7,75.3
ethane,0,6.61,-4.03,2.58,2.58,1.83,-0.02,30,181.8,68.7,44.4,68.7,46.2,198.7,79.5,57.6,81.6,53.3,193.3,77.5,57.2,77.9,56.8
ethanethiol,-2.49,8.52,-6.43,2.09,-0.4,-1.14,-3.53,62,215.5,89.1,64.3,89.1,66.2,220.8,93.2,71.8,96.3,66.4,234.4,103.2,85.7,104.6,84.1
ethanol,-5.2,7.91,-6.16,1.75,-3.45,-5,-6.69,46,198.2,78.6,54,78.6,55.7,205.1,83.5,61.5,85.8,56.8,210.9,88.1,67.8,89.1,66.8
ethene,-0.3,5.26,-2.6,2.66,2.36,1.28,-0.7,28,168.4,61.5,38.9,61.5,40.1,180.2,68.7,47.1,69.5,44.4,184.2,72.4,52.7,72.6,52.7
ethyl_acetate,-5.14,12.58,-10.67,1.91,-3.23,-2.94,-6.3,88,271.8,121,91.9,121,94.3,289.2,132.7,107.6,138.4,98.6,287.2,134.2,115,136.7,112.5
ethyl_benzoate,-6.33,18.64,-16.99,1.65,-4.68,-3.64,-7.62,150,356.9,176.2,148.7,176.1,151.7,374.3,189.4,169.2,197.9,155.4,376.7,193.8,186.6,197.7,181.8
ethyl_butanoate,-5.39,15.79,-13.44,2.35,-3.04,-2.49,-6.05,116,333.9,158.8,128.5,158.7,131.4,355.1,174.1,151.7,184.9,137.5,349.2,172.8,156.9,177.3,152.1
ethyl_formate,-4.52,10.47,-8.94,1.53,-2.99,-2.56,-6.02,74,237.2,101.2,74.4,101.2,76.4,248,108.5,85,112.6,78.1,253.4,113.9,94.5,115.7,92.8
ethyl_hexanoate,-5.43,19.17,-16.54,2.63,-2.8,-2.23,-6.1,144,396.9,197.1,165.3,197,168.7,420.6,215.3,195.7,231.1,176.6,413.2,212.5,198.9,219,191.8
ethyl_pentanoate,-5.47,18.13,-15.75,2.38,-3.09,-2.49,-6.19,130,365.1,177.8,146.8,177.7,150,387.6,194.6,173.6,207.8,156.8,380.9,192.6,178,198,171.8
ethyl_phenyl_ether,-4.12,15.5,-13.39,2.11,-2.01,-2.22,-4.9,122,323.5,154.6,127.7,154.6,130.4,342,168,147.4,174.7,136.4,341,170.4,160.3,173.1,157.1
ethyl_propanoate,-5.51,14.63,-12.51,2.12,-3.39,-2.68,-6.31,102,302.6,139.7,109.8,139.6,112.9,322.5,153.5,129.8,161.8,118,317.3,153.1,135.9,156.6,132.2
ethylamine,-5,8.2,-6.34,1.86,-3.14,-4.5,-5.81,45,203.6,82.1,57.5,82.1,59.4,208.9,85.8,64,88.3,59.2,216.8,92,72.1,93.1,70.9
ethylbenzene,-2.76,14.79,-12.62,2.17,-0.59,-0.79,-3.09,106,302.6,144.1,120.9,144,123.2,321.6,157.8,141.7,166.9,130.1,319,158.3,150.4,162,146.7
fluorene,-5.31,19.78,-18.76,1.02,-4.29,-3.35,-6.06,166,364.1,185.4,164.7,185.3,168.1,383.1,199.8,188.2,208.9,175.1,383.8,203,207.8,206.7,203.5
fluorobenzene,-2.1,11.55,-9.52,2.03,-0.07,-0.8,-2.86,96,252.5,112.9,88.9,115.1,93.7,267.6,123.2,103.2,126.6,96.8,272.7,128.5,116.1,129.8,114.7
fluoromethane,-1.61,4.59,-2.19,2.4,0.79,-0.22,-2.14,34,155,53.9,32.3,53.9,33.4,164,59.3,38.7,59.9,36.6,170.9,64.4,44.4,64.5,44.4
formaldehyde,-4.87,4.87,-3.22,1.65,-3.22,-2.75,-6.11,30,149.4,51,30.3,51,31.3,154.4,54,34.1,54.2,32.5,165.8,61.6,42.1,61.8,42.3
halothane,-1.59,12.34,-10.05,2.29,0.7,-0.11,-1.82,197.4,256.9,116.1,95.5,116,97.4,265.2,122,105.7,167.4,119.2,288.5,138.9,130.5,142.9,126.7
hept_1_ene,-0.33,14.95,-11.65,3.3,2.97,1.66,-0.7,98,330.4,158.5,129.9,158.4,132.5,351.5,174.7,157,187.2,142,346.5,172.2,157.5,177,151.9
hept_1_yne,-0.8,14.28,-11.2,3.08,2.28,0.6,-1.31,96,322.3,152.5,123.3,152.4,125.7,342.4,167.7,148.1,178.2,134.9,341,168.2,152.6,172.3,147.8
heptan_1_ol,-5.09,17.02,-14.65,2.37,-2.72,-4.21,-5.87,116,353.2,173.4,145.5,173.3,148.2,369.7,187,171.3,202,154,368.8,186.3,172.4,192.2,165.7
heptan_2_one,-5.3,16.71,-14.21,2.5,-2.8,-3.04,-5.84,114,342.5,166.6,138.8,166.5,141.5,363.5,182.9,166.5,196.8,150.4,358.7,180.3,167.1,185.9,161
heptan_4_one,-5.19,16.16,-13.65,2.51,-2.68,-2.92,-5.42,114,341.4,166,138.7,165.9,141.4,363.6,183,166.6,196.7,150.4,356.6,179.3,167,184.9,160.7
heptanal,-5.06,17.16,-14.73,2.43,-2.63,-2.67,-5.84,114,342.2,166.4,138.8,166.3,141.6,360.6,181.3,165.7,195.2,149.7,358.8,180.3,166.9,185.8,160.9
hex_1_ene,-0.33,13.12,-10.2,2.92,2.59,1.58,-0.69,84,298.6,139.2,111.3,139.1,113.8,318.4,153.9,134.9,163.9,122.4,314.2,152.2,136.3,155.9,131.9
hex_1_yne,-0.81,12.93,-10.02,2.91,2.1,0.29,-1.33,82,291.1,133.4,104.9,133.4,107.2,309.9,147.2,126.2,155.2,115.6,309.2,148.5,131.4,151.5,128.1
hexa_15_diene,-0.65,12.36,-9.27,3.09,2.44,1.01,-1.31,82,284.9,131,106.3,130.9,109.2,302.8,144,126.4,153.8,113.7,300.6,144.7,132.8,149.4,127.6
hexafluoropropene,-1.17,10.07,-6.61,3.46,2.29,-3.76,-1.51,150,251.9,112.1,87.8,112,89.7,268.2,123.7,105.1,129.2,98,281.2,133.3,119.7,136.7,116.5
hexan_1_ol,-5.08,15.46,-13.41,2.05,-3.03,-4.4,-5.79,102,321.9,154.3,127.3,154.2,129.6,337.2,166.5,149.5,179.1,134.6,337,166.5,151.4,171.5,145.9
hexan_2_one,-5.28,14.89,-12.38,2.51,-2.77,-3.28,-5.87,100,310.8,147.4,120.6,147.3,122.9,330.5,162.3,144.5,173.5,131,326.6,160.5,146.2,165.2,141.1
hexan_3_ol,-4.96,14.92,-12.59,2.33,-2.63,-4.06,-4.91,102,312.9,150.2,127,150,129.4,329.9,163,149.5,175.9,135.1,327.4,162.3,151,167.3,145.5
hexanal,-5.09,15,-12.87,2.13,-2.96,-2.81,-5.98,100,311.9,147.9,120.7,147.8,123.3,329,161.3,144.2,172.9,130.2,328.1,161.1,146.5,165.7,141.3
hexanoic_acid,-6.93,16.38,-14.53,1.85,-5.08,-6.21,-10.34,116,328.9,157.8,129.5,157.7,132.4,339.8,167.8,150.7,180.2,136.2,345.6,171.6,156.8,176.7,151
hydrazine,-8.36,5.24,-3.98,1.26,-7.1,-9.3,-12.72,32,161.7,57.6,34.9,57.6,36.2,146.5,50.1,31.5,50.3,30.3,175.8,66.8,45.9,67.3,45.3
imidazole,-8.49,10.08,-9.44,0.64,-7.85,-9.63,-9.3,68,211.4,87,62.9,87,64.6,214.4,89.7,69.2,90.6,66.2,229.7,101,84.4,101.6,84
indane,-2.97,15.89,-14.62,1.27,-1.7,-1.46,-3.2,118,307.9,148.1,126.3,148,129.1,327.5,162.4,148.5,170.9,136.6,323.3,161.7,156.1,164.3,153.2
iodobenzene,-2.11,14.58,-12.81,1.77,-0.34,-1.74,-2.97,203.9,283.6,132.3,109.2,132.2,111.3,294.1,139.8,120.9,144.4,113.3,310.6,153.2,146.2,155.4,143.9
iodoethane,-1.93,10.32,-8.49,1.83,-0.1,-0.74,-2.78,155.9,223.8,94.5,70.9,94.5,72.6,232.9,100.6,79.6,104.2,73.9,246.4,111.1,95.7,112.7,94.1
iodomethane,-1.9,8.36,-6.43,1.93,0.03,-0.89,-2.79,141.9,191.3,75.2,52.7,75.2,53.8,195.1,77.5,56.2,78.7,53.2,215.4,91.9,74.8,92.5,74.3
isoamyl_acetate,-5.44,17.77,-15.38,2.39,-3.05,-2.21,-6.45,130,351.3,171.7,146.5,171.6,149.5,373.4,187.7,172.1,201.3,156.1,368.6,186.9,176.8,192.7,170.9
isoamyl_formate,-5.17,16,-14.22,1.78,-3.39,-2.13,-6.52,116,316.7,151.9,129,151.7,131.6,332.2,163.5,149.4,175.4,135.7,334.8,166.6,156.3,171.7,151.2
isobutyl_acetate,-5.23,15.84,-13.41,2.43,-2.8,-2.36,-6.08,116,325.7,156.5,129.7,156.4,132.4,345.6,171.3,152.4,183,137.6,342.4,170.7,157.8,175.9,151.8
isobutyl_formate,-5,14.23,-12.44,1.79,-3.21,-2.22,-6.15,102,292.4,136.4,111.9,136.3,114,306.9,147,129,157.2,117,309.7,150.4,136.7,155,132.1
isobutyl_isobutanoate,-5.29,19.29,-16.55,2.74,-2.55,-1.69,-5.55,144,381.5,192.1,167.4,192,170.8,404.4,210.4,197.8,228.5,176.5,397.9,207,200.3,215.1,191.2
isobutylbenzene,-2.66,17.37,-14.71,2.66,0,0.16,-2.78,134,341.6,171.3,157.5,171,160.6,362.2,186.6,184.2,201.8,168.3,358.2,185.9,190.8,192.7,184.2
isobutyraldehyde,-4.98,10.99,-8.94,2.05,-2.93,-2.86,-5.83,72,244.2,107.7,84.4,107.6,86.5,258.9,118.1,100.4,125.5,91.4,259.3,119.4,104.4,122.5,101.2
isoflurane,-4.21,13.43,-10.6,2.83,-1.38,0.1,-4.88,184.5,291.5,136.6,114.1,136.5,116.4,304.8,146.1,129.2,193.9,139.9,322.8,159.9,151.2,165.8,145.6
isopropyl_acetate,-5.15,14.24,-12.01,2.23,-2.92,-2.64,-6.22,102,290.9,135.7,111.1,135.6,113.7,309.5,148.9,131.1,158.8,118.5,306.9,149,136.4,153.4,131.4
isopropyl_formate,-4.37,12.28,-10.55,1.73,-2.64,-2.02,-5.76,88,259.3,116.4,92.5,116.4,94.7,272.7,126,107.2,133,98.1,275.4,129.3,114.8,132.4,111.7
m_cresol,-6.94,14.05,-12.39,1.66,-5.28,-5.49,-7.82,108,287.3,134.7,110.2,134.6,112.5,299.9,143.7,124.7,149.4,115.7,305.2,149.3,139.1,151.9,136.2
m_xylene,-2.71,14.18,-11.64,2.54,-0.17,-0.83,-3,106,303.4,144.3,119.2,144.3,122,323.5,158.7,140.5,166,130,319.9,158.6,149.9,161.8,146.4
methane,0,4.12,-1.58,2.54,2.54,1.99,-0.01,16,143.8,47.7,27.3,47.7,28.3,158.4,56.1,35.8,56.5,33.9,156.1,56,36.7,56.1,36.9
methanesulfonyl_chloride,-6.85,11.68,-11.16,0.52,-6.33,-4.87,-9.27,114.5,235.2,101.9,77.8,101.9,79.4,239.7,105.1,83.2,109.2,77,258.1,118.5,103.2,120.9,100.7
methanethiol,-2.25,6.51,-4.52,1.99,-0.26,-1.24,-3.4,48,182.3,69.6,46.5,69.6,47.8,182,69.8,48.6,70.7,45.8,202.6,83.7,64.8,84.3,64.4
methanol,-5.15,5.4,-3.73,1.67,-3.48,-5.1,-6.96,32,163.5,58.6,36,58.6,37.4,164.3,59.4,38.6,59.9,36.4,321.7,117.7,79.4,67.7,46.8
methoxyflurane,-2.49,13.97,-12.19,1.78,-0.71,-1.12,-3.27,165,287.6,134.4,112.7,134.3,115,295.7,140.4,123.8,148.5,114,315.6,155.8,148.7,160.7,143.9
methyl_acetate,-5.44,10.92,-9.21,1.71,-3.73,-3.13,-7.06,74,236.4,100.8,74,100.8,75.9,248.2,108.5,84.6,112.1,78.3,252.3,113.5,94.2,115.2,92.6
methyl_benzoate,-6.3,16.92,-15.68,1.24,-5.06,-3.92,-7.96,136,323.5,155.9,129.9,155.9,132.4,336.9,165.6,144.9,171.6,135.1,343.6,173.2,165.1,176.1,161.9
methyl_butanoate,-5.36,14.41,-12.37,2.04,-3.32,-2.83,-6.31,102,298.1,138.2,109.8,138.2,112.4,313.8,149.6,128,157.8,117,313.9,151.8,135.7,155.3,132
methyl_chloroacetate,-5.16,12.57,-11.33,1.24,-3.92,-4,-6.83,108.5,260.2,115.4,88.1,115.4,90.3,267.1,120.1,96.1,124.1,89.3,282.2,132.4,115.5,134.5,113.4
methyl_cyanoacetate,-6.89,13.43,-12.05,1.38,-5.51,-6.72,-9.31,99,270,120.5,92.2,120.5,94.4,282.5,129,104.5,133.7,96.8,292.3,138,120.5,140.5,117.9
methyl_cyclohexanecarboxylate,-5.51,18.58,-17.36,1.22,-4.29,-3.3,-5.78,142,339.1,167.5,153.2,167.4,156.6,357.2,181.4,178.4,197.7,161,353.4,180.9,182.4,187.6,175.4
methyl_cyclohexyl_ketone,-5.38,17.11,-15.63,1.48,-3.9,-3.9,-5.71,126,326,160.4,144.8,160.2,148.1,346.2,175.7,172.4,192.6,155.6,340.7,173.1,172,179.9,165.1
methyl_cyclopropanecarboxylate,-6.3,12.99,-11.18,1.81,-4.49,-4.1,-6.81,100,282.1,128.7,102.4,128.6,104.7,296.6,138.8,117.3,146.2,107.1,298.7,142.8,127.8,145.9,124.5
methyl_cyclopropyl_ketone,-5.82,11.89,-9.81,2.08,-3.74,-4.61,-5.59,84,262.7,117.9,92.9,117.8,95,280.6,130.1,110.1,136.7,101.4,278.7,131,116.3,133.7,113.6
methyl_ethyl_ether,-2.84,9.53,-7.51,2.02,-0.82,-2.1,-3.27,60,233.2,98.7,71.5,98.6,73.7,246.1,107.3,83.5,111.2,76.7,246.6,109.6,89.5,111,87.9
methyl_ethyl_sulfide,-1.93,10.82,-8.55,2.27,0.34,-1.5,-2.58,76,247.8,108.4,82.6,108.4,84.9,260.3,117,95.2,122.4,87,265.2,122.4,106.7,124.8,104.2
methyl_formate,-4.48,8.89,-7.58,1.31,-3.17,-2.78,-6.12,60,201.8,81,56.6,81,58.2,207,84.4,62.1,86.6,57.9,218.6,93.2,74,94.4,73
methyl_hexanoate,-5.36,18.19,-15.85,2.34,-3.02,-2.49,-6.39,130,361.4,176.9,147.2,176.7,150.3,379.6,191.1,172.6,204.8,156.2,378.3,191.8,178.2,197.5,171.9
methyl_isopropyl_ether,-2.89,11.5,-9.36,2.14,-0.75,-2.01,-3.13,74,253.8,113.3,89.7,113.3,92,268.9,123.9,105.6,131,96.4,268.1,124.8,109.8,127.8,106.7
methyl_methanesulfonate,-8.81,13.28,-12.76,0.52,-8.29,-4.87,-11.18,110,259.1,115.6,89.7,115.5,91.9,265.6,120.1,97.2,125.7,88.7,276.3,129.3,113.5,132.3,110.2
methyl_octanoate,-5.31,21.59,-19.22,2.37,-2.94,-2.04,-6.25,158,424,215.1,184.3,214.9,187.6,444.7,232.2,216.5,251.1,194.9,441.9,231.3,220.4,239.2,211.8
methyl_p_methoxybenzoate,-7.45,20.37,-19.24,1.13,-6.32,-5.33,-9.59,166,366.8,182.3,155.6,182.2,158.5,379,191.5,171.4,199.5,159.3,388.2,201.2,195.9,205.4,191.3
methyl_p_nitrobenzoate,-6.27,21.06,-21.18,-0.12,-6.39,-6.88,-8.02,181,362,180.5,154.3,180.4,157.1,371.2,187.9,168.3,196,156.7,386.2,200.7,195.5,205.2,190.7
methyl_pentanoate,-5.43,15.86,-13.94,1.92,-3.51,-2.56,-6.45,116,329.8,157.7,129.1,157.6,131.8,346.8,170.5,150.8,182,136.5,346.2,171.9,157.4,176.8,152
methyl_propanoate,-5.47,12.57,-10.93,1.64,-3.83,-2.93,-6.61,88,267.2,119.5,92,119.5,94.7,281.5,129.4,106.9,135.8,97.8,282.5,132.4,115.4,135.2,112.4
methyl_propyl_ether,-2.76,11.46,-9.11,2.35,-0.41,-1.66,-3.3,74,264.3,117.9,90.1,117.9,92.3,279.2,128.4,105.6,135,96.2,278.3,129.4,110.5,132,107.8
methyl_t_butyl_ether,-2.95,13.05,-10.7,2.35,-0.6,-2.21,-2.96,88,272.6,126.4,107.5,126.3,109.9,289.4,138.6,127,148.9,115.3,287.3,138.2,129.3,143,124.8
methyl_tert_butyl_ether,-2.9,12.99,-10.77,2.22,-0.68,-2.21,-2.96,88,272.6,126.4,107.5,126.3,109.9,289.4,138.6,127,148.9,115.3,287.3,138.2,129.3,143,124.8
methyl_trifluoroacetate,-3.4,12.05,-10.04,2.01,-1.39,-1.1,-4.86,128,261.4,116.3,89.4,116.3,91.5,273.4,124.6,102.2,129.6,94.5,285,134.3,117.5,137.2,114.6
methyl_trimethylacetate,-5.28,15.22,-12.93,2.29,-2.99,-2.4,-5.84,116,312.1,149.7,129.4,149.5,131.9,328.9,162.2,150.1,174.6,136.2,327.5,163.2,156.9,169.7,150.8
